image_name,label
firstbatch_cropped_raw_52_1.jpg,17.5
firstbatch_cropped_raw_48_1.jpg,17.1
firstbatch_cropped_raw_56_1.jpg,17.1
firstbatch_cropped_raw_40_1.jpg,17.0
firstbatch_cropped_raw_51_1.jpg,16.9
firstbatch_cropped_raw_47_1.jpg,16.9
firstbatch_cropped_raw_43_1.jpg,16.7
firstbatch_cropped_raw_58_1.jpg,16.7
firstbatch_cropped_raw_41_1.jpg,16.7
firstbatch_cropped_raw_53_1.jpg,16.6
firstbatch_cropped_raw_55_1.jpg,16.6
firstbatch_cropped_raw_50_1.jpg,16.5
firstbatch_cropped_raw_49_1.jpg,16.5
firstbatch_cropped_raw_46_1.jpg,16.4
firstbatch_cropped_raw_57_1.jpg,16.0
firstbatch_cropped_raw_42_1.jpg,14.0
firstbatch_cropped_raw_45_1.jpg,13.9
firstbatch_cropped_raw_54_1.jpg,13.6
firstbatch_cropped_raw_44_1.jpg,12.8
secondbatch_cropped_raw_1_1.jpg,15.3
secondbatch_cropped_raw_2_1.jpg,13.7
secondbatch_cropped_raw_3_1.jpg,13.8
secondbatch_cropped_raw_4_1.jpg,19.1
secondbatch_cropped_raw_5_1.jpg,15.0
secondbatch_cropped_raw_6_1.jpg,14.0
secondbatch_cropped_raw_7_1.jpg,15.6
secondbatch_cropped_raw_8_1.jpg,17.9
secondbatch_cropped_raw_9_1.jpg,13.2
secondbatch_cropped_raw_10_1.jpg,14.8
secondbatch_cropped_raw_11_1.jpg,14.3
secondbatch_cropped_raw_12_1.jpg,13.8
secondbatch_cropped_raw_13_1.jpg,13.4
secondbatch_cropped_raw_14_1.jpg,16.0
secondbatch_cropped_raw_15_1.jpg,13.9
secondbatch_cropped_raw_16_1.jpg,14.2
secondbatch_cropped_raw_17_1.jpg,13.3
secondbatch_cropped_raw_18_1.jpg,14.6
secondbatch_cropped_raw_19_1.jpg,13.5
secondbatch_cropped_raw_20_1.jpg,13.5
secondbatch_cropped_raw_21_1.jpg,13.4
secondbatch_cropped_raw_22_1.jpg,13.6
secondbatch_cropped_raw_23_1.jpg,13.3
secondbatch_cropped_raw_24_1.jpg,20.1
secondbatch_cropped_raw_25_1.jpg,15.2
secondbatch_cropped_raw_26_1.jpg,13.9
secondbatch_cropped_raw_27_1.jpg,14.3
secondbatch_cropped_raw_28_1.jpg,14.0
secondbatch_cropped_raw_29_1.jpg,13.8
secondbatch_cropped_raw_30_1.jpg,13.2
secondbatch_cropped_raw_31_1.jpg,14.4
secondbatch_cropped_raw_32_1.jpg,14.7
secondbatch_cropped_raw_33_1.jpg,13.5
secondbatch_cropped_raw_34_1.jpg,19.3
secondbatch_cropped_raw_35_1.jpg,13.3
secondbatch_cropped_raw_36_1.jpg,13.9
secondbatch_cropped_raw_37_1.jpg,13.4
secondbatch_cropped_raw_38_1.jpg,14.8
secondbatch_cropped_raw_39_1.jpg,13.5
secondbatch_cropped_raw_40_1.jpg,15.1
secondbatch_cropped_raw_41_1.jpg,15.1
secondbatch_cropped_raw_42_1.jpg,13.0
secondbatch_cropped_raw_43_1.jpg,13.6
secondbatch_cropped_raw_44_1.jpg,13.6
secondbatch_cropped_raw_45_1.jpg,14.3
secondbatch_cropped_raw_46_1.jpg,13.7
secondbatch_cropped_raw_47_1.jpg,14.7
secondbatch_cropped_raw_48_1.jpg,14.1
secondbatch_cropped_raw_49_1.jpg,14.3
secondbatch_cropped_raw_50_1.jpg,16.9
secondbatch_cropped_raw_51_1.jpg,13.6
secondbatch_cropped_raw_52_1.jpg,13.3
secondbatch_cropped_raw_53_1.jpg,14.5
secondbatch_cropped_raw_54_1.jpg,13.8
secondbatch_cropped_raw_55_1.jpg,15.8
secondbatch_cropped_raw_56_1.jpg,14.7
secondbatch_cropped_raw_57_1.jpg,14.2
secondbatch_cropped_raw_58_1.jpg,15.0
secondbatch_cropped_raw_59_1.jpg,15.1
secondbatch_cropped_raw_60_1.jpg,15.5
secondbatch_cropped_raw_61_1.jpg,14.9
secondbatch_cropped_raw_62_1.jpg,13.7
secondbatch_cropped_raw_63_1.jpg,14.1
secondbatch_cropped_raw_64_1.jpg,14.4
secondbatch_cropped_raw_65_1.jpg,14.7
secondbatch_cropped_raw_66_1.jpg,15.5
secondbatch_cropped_raw_67_1.jpg,17.0
secondbatch_cropped_raw_68_1.jpg,13.4
secondbatch_cropped_raw_69_1.jpg,15.6
secondbatch_cropped_raw_70_1.jpg,17.2
secondbatch_cropped_raw_71_1.jpg,19.4
secondbatch_cropped_raw_72_1.jpg,15.5
secondbatch_cropped_raw_73_1.jpg,13.3
secondbatch_cropped_raw_74_1.jpg,14.2
secondbatch_cropped_raw_75_1.jpg,15.5
secondbatch_cropped_raw_76_1.jpg,20.2
secondbatch_cropped_raw_77_1.jpg,13.2
secondbatch_cropped_raw_78_1.jpg,13.3
secondbatch_cropped_raw_79_1.jpg,15.9
secondbatch_cropped_raw_80_1.jpg,14.5
secondbatch_cropped_raw_81_1.jpg,17.2
secondbatch_cropped_raw_82_1.jpg,15.0
secondbatch_cropped_raw_83_1.jpg,14.0
secondbatch_cropped_raw_84_1.jpg,15.3
secondbatch_cropped_raw_85_1.jpg,17.9
secondbatch_cropped_raw_86_1.jpg,19.8
secondbatch_cropped_raw_87_1.jpg,13.6
secondbatch_cropped_raw_88_1.jpg,13.5
secondbatch_cropped_raw_89_1.jpg,13.5
secondbatch_cropped_raw_90_1.jpg,14.7
thirdbatch_cropped_back_1.jpg,15.1
thirdbatch_cropped_back_2.jpg,14.6
thirdbatch_cropped_back_3.jpg,19.4
thirdbatch_cropped_back_4.jpg,14.6
thirdbatch_cropped_back_5.jpg,19.4
thirdbatch_cropped_back_6.jpg,17.0
thirdbatch_cropped_back_7.jpg,15.3
thirdbatch_cropped_back_8.jpg,17.1
thirdbatch_cropped_back_9.jpg,19.8
thirdbatch_cropped_back_10.jpg,15.6
thirdbatch_cropped_back_11.jpg,19.7
thirdbatch_cropped_back_12.jpg,17.2
thirdbatch_cropped_back_13.jpg,15.5
thirdbatch_cropped_back_14.jpg,17.1
thirdbatch_cropped_back_15.jpg,19.6
thirdbatch_cropped_back_16.jpg,17.5
thirdbatch_cropped_back_17.jpg,15.1
thirdbatch_cropped_back_18.jpg,13.6
thirdbatch_cropped_back_19.jpg,13.8
thirdbatch_cropped_back_20.jpg,13.3
thirdbatch_cropped_back_21.jpg,13.4
thirdbatch_cropped_back_22.jpg,13.1
thirdbatch_cropped_back_23.jpg,14.0
thirdbatch_cropped_back_24.jpg,13.7
thirdbatch_cropped_back_25.jpg,13.5
thirdbatch_cropped_back_26.jpg,14.0
thirdbatch_cropped_back_27.jpg,13.2
thirdbatch_cropped_back_28.jpg,13.4
