image_name,label
cropped_raw_25.jpg,19.9
cropped_raw_29.jpg,19.5
cropped_raw_30.jpg,19.5
cropped_raw_27.jpg,19.5
cropped_raw_28.jpg,19.2
cropped_raw_26.jpg,19.2
cropped_raw_36.jpg,19.0
cropped_raw_32.jpg,18.9
cropped_raw_38.jpg,18.7
cropped_raw_23.jpg,18.4
cropped_raw_39.jpg,18.4
cropped_raw_22.jpg,18.3
cropped_raw_76.jpg,18.3
cropped_raw_24.jpg,18.3
cropped_raw_35.jpg,18.2
cropped_raw_31.jpg,17.9
cropped_raw_21.jpg,17.9
cropped_raw_34.jpg,17.8
cropped_raw_37.jpg,17.7
cropped_raw_33.jpg,17.7
cropped_raw_52.jpg,17.5
cropped_raw_48.jpg,17.1
cropped_raw_56.jpg,17.1
cropped_raw_40.jpg,17.0
cropped_raw_51.jpg,16.9
cropped_raw_47.jpg,16.9
cropped_raw_43.jpg,16.7
cropped_raw_58.jpg,16.7
cropped_raw_41.jpg,16.7
cropped_raw_53.jpg,16.6
cropped_raw_55.jpg,16.6
cropped_raw_50.jpg,16.5
cropped_raw_49.jpg,16.5
cropped_raw_46.jpg,16.4
cropped_raw_57.jpg,16.0
cropped_raw_42.jpg,14.0
cropped_raw_45.jpg,13.9
cropped_raw_54.jpg,13.6
cropped_raw_44.jpg,12.8
